symbol,date,open,high,low,close,volume,daily_return,volatility_30d,volume_normalized
HDFCBANK.NS,2025-03-13 00:00:00+05:30,846.5818201293218,848.9251455168071,838.6885135609504,841.9197998046875,15736264,,,-0.6159568148287183
HDFCBANK.NS,2025-03-17 00:00:00+05:30,841.1304307424771,850.5037317302232,841.1304307424771,843.79443359375,18950652,0.0022266180098120536,,-0.29715497319577083
HDFCBANK.NS,2025-03-18 00:00:00+05:30,843.79443359375,843.79443359375,843.79443359375,843.79443359375,0,0.0,,-2.176673798472962
HDFCBANK.NS,2025-03-19 00:00:00+05:30,855.930432694155,863.823739278078,854.5490799535085,860.4197387695312,15221406,0.01970302779193922,,-0.6670202454349351
HDFCBANK.NS,2025-03-20 00:00:00+05:30,865.3037412350927,875.1703745445009,862.985106495842,872.5803833007812,17833978,0.014133386280329452,,-0.40790629746142576
HDFCBANK.NS,2025-03-21 00:00:00+05:30,866.0684175252852,875.2196836615442,866.0684175252852,873.3696899414062,33508264,0.0009045661072957234,0.00895010218300305,1.14666373051327
HDFCBANK.NS,2025-03-24 00:00:00+05:30,877.6369838460287,890.1676194932312,874.997671627427,887.9969482421875,17393736,0.016748071829424838,0.008869502300187284,-0.45156934011967736
HDFCBANK.NS,2025-03-25 00:00:00+05:30,890.4143157035983,909.5555477752322,888.7369760332164,898.5789184570312,39101416,0.011916674078431333,0.008173849828262606,1.7013905270708118
HDFCBANK.NS,2025-03-26 00:00:00+05:30,900.3302775382388,901.5636066855512,888.9836493829623,891.2283325195312,24478442,-0.008180234130266362,0.009787500217749164,0.25108924379365016
HDFCBANK.NS,2025-03-27 00:00:00+05:30,887.9969842041877,908.2235821777276,887.0596420099644,900.5029296875,41658100,0.010406533129113216,0.009218264714128708,1.9549615233766375
HDFCBANK.NS,2025-03-28 00:00:00+05:30,902.3036249715724,905.7569466636452,890.8829847599874,901.908935546875,28773648,0.0015613562299712225,0.008894313885507854,0.6770862245541824
HDFCBANK.NS,2025-04-01 00:00:00+05:30,888.9836405685396,892.8809726796349,870.9030234039785,872.1363525390625,28511006,-0.03301063093444112,0.014707419358913676,0.6510374857926637
HDFCBANK.NS,2025-04-02 00:00:00+05:30,873.5423260418547,887.602278026219,873.5423260418547,886.4676513671875,11573564,0.01643240622455666,0.014525623044244165,-1.0288118983362073
HDFCBANK.NS,2025-04-03 00:00:00+05:30,878.6729886492828,889.9702954640933,876.6503409310941,885.456298828125,11250038,-0.0011408792385178002,0.013991980726203139,-1.0608990902421442
HDFCBANK.NS,2025-04-04 00:00:00+05:30,894.4102660639704,908.6921929973272,893.4729239008652,896.5316162109375,33540454,0.012508033877527636,0.013635041099374754,1.1498563230945529
HDFCBANK.NS,2025-04-07 00:00:00+05:30,869.6450067324856,878.0562747489253,857.5090006629878,867.1289672851562,37995450,-0.03279599781438536,0.016303294818663334,1.591701218380192
HDFCBANK.NS,2025-04-08 00:00:00+05:30,870.730371547347,879.1170096868965,863.4784203033727,872.7777099609375,35563872,0.006514305125184139,0.015789195021352995,1.3505381899983788
